Dia,Fecha,Proyecto,Bloque,km,Segmentos
13,2026-04-01,DESCANSO,-,0.0,0.0
14,2026-04-02,Tampico-San Luis,1.0,50.0,4.0
15,2026-04-03,Tampico-San Luis,2.0,50.0,5.0
16,2026-04-04,Tampico-San Luis,3.0,50.0,9.0
17,2026-04-05,Tampico-San Luis,4.0,50.0,3.0
18,2026-04-06,Tampico-San Luis,5.0,50.0,4.0
19,2026-04-07,DESCANSO,-,0.0,0.0
20,2026-04-08,Tampico-San Luis,6.0,50.0,7.0
21,2026-04-09,Tampico-San Luis,7.0,50.0,4.0
22,2026-04-10,Tampico-San Luis,8.0,50.0,3.0
23,2026-04-11,Tampico-San Luis,9.0,12.182207670612591,6.0
24,2026-04-12,TRANSICIÓN,-,0.0,0.0
25,2026-04-13,DESCANSO,-,0.0,0.0
26,2026-04-14,Veracruz-Tampico,1.0,50.0,12.0
27,2026-04-15,Veracruz-Tampico,2.0,50.0,3.0
28,2026-04-16,Veracruz-Tampico,3.0,50.0,1.0
29,2026-04-17,Veracruz-Tampico,4.0,50.0,4.0
30,2026-04-18,Veracruz-Tampico,5.0,50.0,5.0
31,2026-04-19,DESCANSO,-,0.0,0.0
32,2026-04-20,Veracruz-Tampico,6.0,50.0,6.0
33,2026-04-21,Veracruz-Tampico,7.0,50.0,7.0
34,2026-04-22,Veracruz-Tampico,8.0,50.0,2.0
35,2026-04-23,Veracruz-Tampico,9.0,50.0,2.0
36,2026-04-24,Veracruz-Tampico,10.0,50.0,2.0
37,2026-04-25,DESCANSO,-,0.0,0.0
38,2026-04-26,Veracruz-Tampico,11.0,19.519744423322788,1.0
