block_name,length_m,area_ha,est_flight_time_min,batteries_needed,block_num,km
01 Canalizacion minicepa,15662.916365619541,6038.75769824168,17483.257228708564,701,1,14.9565810996
02 Canalizacion tipo A,6048.531565868585,774.8471544226397,2252.0345903432863,92,1,5.66972920033
03 Canalizacion tipo A,25716.648134449522,17264.271066342448,49964.48803918532,2000,1,24.3590830365
04 Canalizacion tipo A,5349.5047596162185,914.0653778207565,2654.865097860985,108,1,5.014606663570007
04 Canalizacion tipo A,11384.675937091419,4070.652832826396,11788.509354243044,473,2,10.666633016629993
05 Canalizacion tipo A,3576.4738307913735,393.6432238923322,1149.0139580217945,47,2,3.34982543367
06 Canalizacion tipo A,18329.811263315136,11762.086292638423,34043.8145041621,1363,2,17.2994873587
07 Canalizacion tipo A,4165.653605126808,692.355193384028,2013.342573449155,82,2,3.93651542856
08 Canalizacion tipo A,15614.725106909415,9900.520432072251,28657.33921317202,1148,2,14.747538762440008
08 Canalizacion tipo A,13863.182312440347,8180.46187908441,23680.317937165535,949,3,13.28173488525999
09 Canalizacion minicepa,3002.4833547191242,141.36951572304355,419.0553116986214,18,3,2.82297285469
010 Canalizacion tipo A,4244.62710779753,641.8910009317561,1867.323498066424,76,3,4.12599035824
011 Canalizacion tipo A,4367.243020712525,116.93387989052631,348.3503469054581,15,3,4.07670345072
012 Canalizacion tipo A,7589.7501011370905,1282.0599883545538,3719.6643181555373,150,3,7.14586086532
013 Canalizacion tipo A,9551.515706775857,1617.8158433999058,4691.180102430283,189,3,9.0208005331
014 Canalizacion tipo A,5256.155040435365,571.0065567794377,1662.2180462367987,68,3,5.06084060795
015 Canalizacion minicepa,1292.4464388041488,65.4085114601456,199.26073917866205,9,3,1.22164106364
016 Canalizacion tipo A,3379.6515836598205,374.2254522435743,1092.8282761677497,45,3,3.243455381080011
016 Canalizacion tipo A,5200.339095648704,1019.4729864014048,2959.8639652818424,120,4,4.931759529369989
017 Canalizacion tipo A,7741.300425191343,614.2243105788405,1787.2694171841447,73,4,7.22674496261
018 Canalizacion Piedra bola,39494.85451204278,28438.039255923133,82295.99321737017,3293,4,37.84149550802001
018 Canalizacion Piedra bola,39251.99614385223,13482.147763654539,39020.84422353744,1562,5,37.64304422028
019 Canalizacion Piedra bola,3233.506442703387,488.5256880537175,1423.5581251554324,58,5,3.09436093638
020 Canalizacion minicepa,2074.002152435803,154.42431688179045,456.8296206070325,20,5,1.96835802612
021 Canalizacion minicepa,7689.593307975409,1510.9229995025737,4381.883679116243,177,5,7.294236817220003
021 Canalizacion minicepa,8664.513856814563,1596.29311159745,4628.903679390769,187,6,8.123878412779996
022 Canalizacion Piedra bola,8970.074811567418,1282.4240868829813,3720.7178439901077,150,6,8.39647025932
023 Canalizacion Piedra bola,13328.100688048517,3967.442457265077,11489.868221253115,461,6,12.488637446
024 Canalizacion minicepa,11360.374073353694,3210.301989276194,9299.068256007506,373,6,10.6477760409
025 Canalizacion Piedra bola,8372.106572452676,3017.9220520494137,8742.413345050387,351,6,7.95158970476
026 Canalizacion minicepa,1125.185143613788,44.692423218974135,139.31835422156868,7,6,1.05863093518
027 Canalizacion Piedra bola,1394.5509272650083,92.46687910512519,277.55462704029276,13,6,1.333017201060009
027 Canalizacion Piedra bola,30160.54911406637,12359.436548224869,35772.25853074325,1432,7,28.53596520663999
028 Canalizacion tipo A,10595.651832486046,3373.971114100758,9772.6478995971,392,7,10.0232349267
030 Canalizacion tipo A,2112.2384978846353,133.62958485818953,396.6596784091132,17,7,2.03826103495
031 Canalizado Piedra bola,9810.555127571688,1398.9057239759054,4057.7596179858374,164,7,9.402538831710011
031 Canalizado Piedra bola,31718.884664900314,11227.152881736874,32495.974773544196,1301,8,30.36578908848999
032 Canalizacion tipo A,17271.17758118111,6301.129660666817,18242.43536072574,731,8,16.2421392146
033 Canalizacion minicepa,3618.4940978489904,415.7785865773009,1213.0630398648752,50,8,3.392071696910008
033 Canalizacion minicepa,11770.777901566324,1847.8881393590257,5356.89855138607,216,9,11.089970561389991
029 Canalizacion minicepa,487.483556256843,11.540795075637016,43.39350426978303,3,9,0.474030908776
Adosado,142.39308407570485,0.8352919011318096,12.41693258429343,2,9,0.134627963547
Adosado,188.80707278181814,1.767271419418405,15.113632579335661,2,9,0.182939986005
Adosado,93.09332660095968,0.42717744769543814,11.236045855600226,2,9,0.0902607697656
Adozado,225.46522414421713,1.2077587446155633,13.49467229344781,2,9,0.210377481129
