NOMBRE,CVE_ESTADO,CVE_MPIO,distancia_km,Hectares,NOM_NA
OJITAL,30,133,2.8830693214256167,,CLEMENTE TORRES ANTES OJITAL
EL MORALILLO,30,123,0.5504184963082945,,EL MORALILLO
PRIMERO DE MAYO,30,133,2.2896150531291095,,PRIMERO DE MAYO
ANAHUAC,30,133,0.3960380996474075,,ANAHUAC
EL MORALILLO,30,123,0.1427675192278378,,EL MORALILLO
EMILIANO ZAPATA,30,133,4.379655363085431,,LA ESCONDIDA HOY EMILIANO ZAPATA
EL CRUCERO,30,133,0.8271373167803129,,EL CRUCERO
VILLA CUAUHTEMOC,30,133,1.184127893291024,,VILLA CUAUHTEMOC
VILLA CUAUHTEMOC,30,133,0.11400449111838926,,VILLA CUAUHTEMOC
EPIFANIO NAVARRO,30,133,0.8620527329467683,,EPIFANIO NAVARRO ANTES SAN ANTONIO
CORRALILLO,30,152,2.128037557320629,,CORRALILLO
GARRAPATAS,30,152,0.6046841860542552,,GARRAPATAS
COYOLITO,30,152,2.449090022281277,,COYOLITO
KILOMETRO 80,30,152,2.82593087674832,,KILOMETRO 80
PUNTA DE BUSTOS,30,152,1.9440728003183552,,PUNTA DE BUSTOS
KILOMETRO 79,30,152,1.5891822237651665,,KM. 79
COYOLITO,30,152,1.6179654507628427,,COYOLITO
ALTO DE LA ZAPUPERA,30,152,0.5924387443104362,,ALTO DE LA ZAPUPERA
LA ESCONDIDA,30,152,0.7323979490211862,,LA ESCONDIDA
LLANO DE BUSTOS,30,152,0.10545603939260557,,LLANO DE BUSTOS
LA ESPERANZA,30,121,4.162174917855852,,LA ESPERANZA
PLAN DE AYALA,30,121,2.712763333714508,,PLAN DE AYALA
JOPOYAL,30,121,1.5938202782747937,,JOPOYAL
JOPOYAL,30,121,2.291034176348994,,JOPOYAL
EL ENCINAL,30,121,3.0692963799031383,,EL ENCINAL
POZA DEL TULE,30,121,2.894902957870107,,POZA DEL TULE
"LOS ZAVALES Y SUS ANEXOS LAS CHACAS, EL ENCINAL Y EL CINCO",30,121,3.8455320520215213,,LOS ZAVALES Y SUS ANEXOS
POTRERILLOS,30,121,0.7406313639973214,,POTRERILLOS
POTRERILLOS,30,121,0.8349159189388029,,POTRERILLOS
POTRERILLOS,30,121,0.9116016028369701,,POTRERILLOS
ALTO DEL MORALITO,30,121,1.4367549764311758,,ALTO DEL MORALITO Y ANEXOS
ALTO DEL POZO VIEJO,30,121,3.927616777692102,,ALTO DEL POZO VIEJO
LA REFORMA,30,154,3.8483581461887266,,LA REFORMA
ANONO CUCHARAS,30,154,3.1280778828480527,,ANONO CUCHARAS
LA REFORMA,30,154,4.710852482631858,,LA REFORMA
ZAPOTAL Y SUS ANEXOS,30,154,0.6726650749746406,,ZAPOTAL Y ANEXOS
ADALBERTO TEJEDA,30,154,0.6270320411352301,,ADALBERTO TEJEDA
LA REFORMA,30,154,2.344576821452229,,LA REFORMA
ZAPOTAL Y SUS ANEXOS,30,154,1.5580325174708554,,ZAPOTAL Y ANEXOS
LA LAJITA,30,154,2.50015176992712,,LA LAJITA
EL ESCOBAL,30,150,0.7210951246331233,,EL ESCOBAL
SAN LORENZO Y ANEXOS,30,154,3.974039471290546,,SAN LORENZO Y ANEXOS
EL XUCHIL,30,154,1.02769585004621,,EL XUCHIL
LAS PUENTES,30,154,1.9912229119386347,,LAS PUENTES
CALMECATE,30,150,1.6952318366866665,,CALMECATE
LAS PUENTES,30,154,2.068666354658529,,LAS PUENTES
CHINAMPA DE GOROSTIZA,30,060,1.700620376872086,,CHINAMPA DE GOROSTIZA
LA MESA,30,060,1.0172283226785186,,LA MESA
EL XUCHIL,30,154,0.7047032164076019,,EL XUCHIL
CERRO DE ORO,30,060,1.7249345120784818,,CERRO DE ORO
NARANJOS,30,060,1.9608023123881935,,NARANJOS
EMPALIZADA,30,013,0.9436277469083199,,EMPALIZADA
CERVANTES,30,013,0.27370563242910473,,CERVANTES
NARANJOS,30,060,2.0925122782565233,,NARANJOS
EMPALIZADA,30,013,1.3601405279676155,,EMPALIZADA
BARRIO HUASTECO,30,013,1.681869788457637,,BARRIO HUASTECO
HERMENEGILDO GALEANA,30,013,2.2581056540042623,,HERMENEGILDO GALEANA
EL AGUILA MONTE GRANDE,30,013,1.250020746188957,,EL AGUILA CONG. DE MONTE GRANDE
ZACAMIXTLE,30,153,1.0910969425738972,,ZACAMIXTLE
LLANO DE ENMEDIO,30,153,2.13113182739827,,LLANO DE ENMEDIO
IGNACIO ZARAGOZA,30,153,1.8331519155737621,,IGNACIO ZARAGOZA
"DOCTOR LICEAGA, ANTES SAN PEDRO",30,153,3.9043395848013853,,DOCTOR LICEAGA ANTES SAN PEDRO
TOTECO,30,153,1.7010756165975838,,TOTECO
KILOMETRO 43,30,153,0.7170780878984413,,KILOMETRO 43
ZACAMIXTLE,30,153,1.6768329266833357,,ZACAMIXTLE
TOTECO,30,153,2.588057803727021,,TOTECO
EL MIRADOR,30,034,1.1440782171068256,,EL MIRADOR
CERRO AZUL VIEJO,30,034,2.2513002613391735,,CERRO AZUL VIEJO
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.1072421677748798,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,3.225273239379485,,JUAN FELIPE Y SU ANEXO POZO 25
EL MIRADOR,30,034,2.4063072653493016,,EL MIRADOR
JUAN FELIPE Y SU ANEXO POZO 25,30,034,0.8173899243812314,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,2.266702770587731,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,2.7926512205151206,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.860271395657894,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.6921018713916292,,JUAN FELIPE Y SU ANEXO POZO 25
MILCAHUAL,30,160,2.852100074768938,,MILCAHUALES
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.3266605087254504,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.4135566980974859,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,0.3881420496213464,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,3.6800769967435842,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.4300774309279882,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,1.2175173876956449,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,0.4261372129878994,,JUAN FELIPE Y SU ANEXO POZO 25
JUAN FELIPE Y SU ANEXO POZO 25,30,034,0.8575978712586005,,JUAN FELIPE Y SU ANEXO POZO 25
MOYUTLA,30,167,3.4098169563697014,,MOYUTLA
ALAZAN,30,160,1.7373242321474494,,ALAZAN
POTRERO DEL LLANO NÝ 1,30,160,3.582306167959247,,POTRERO DE LLANO
HORCONES,30,160,3.048352117248664,,HORCONES
HORCONES,30,160,1.3925015207338476,,HORCONES
OTATAL,30,160,1.0576041297507712,,OTATAL
ARTICULO VEINTISIETE,30,160,1.5089134579363295,,ARTICULO 27
TIERRA BLANCA BOXTER,30,160,2.482211426164798,,TIERRA BLANCA BOXTER
ESTACION CHAPOPOTE,30,160,2.749354702242512,,ESTACION CHAPOPOTE
HERMENEGILDO GALEANA,30,160,1.504547142901976,,HERMENEGILDO GALEANA
OJITAL CIRUELO,30,160,2.4454341476252233,,OJITAL CIRUELO
ALAMO TORTUGA,30,160,0.1845218322626505,,ALAMO TORTUGA
ALAMO TORTUGA,30,160,3.6391511491049267,,ALAMO TORTUGA
GRAL. ADALBERTO TEJEDA Y SU ANEXO GRACIANO SANCHEZ,30,160,0.43133187664464046,,GRAL. ADALBERTO TEJEDA Y SU ANEXO
ESTACION CHAPOPOTE,30,160,0.5115288047087214,,ESTACION CHAPOPOTE
CHAPOPOTE NU?EZ,30,160,2.8236772500227856,,CHAPOPOTE NUÑEZ
GRAL. ADALBERTO TEJEDA Y SU ANEXO GRACIANO SANCHEZ,30,160,0.041030853720783654,,GRAL. ADALBERTO TEJEDA Y SU ANEXO
GRAL. ADALBERTO TEJEDA Y SU ANEXO GRACIANO SANCHEZ,30,160,0.7531409890690356,,GRAL. ADALBERTO TEJEDA Y SU ANEXO
AGUA NACIDA,30,160,4.250996834548781,,AGUA NACIDA  Y ANEXOS
