bloque,nombre,km
1,1 microzanja 15.6 km,12.0002993943
1,2 postes cfe 3km,3.12401027339
1,3 postes nuevos 2 km,1.82850956092
1,4 postes cfe 4.7 km,4.7021740506
1,5 Canalizacion 5.0 km,4.93693890533
1,6 adosado 300 mts,0.225287577728
1,,0.00235663002778
1,7 Microzanja 1.5 km,1.34651397292
1,8 postes cfe 1 km,0.982264641743
1,9 Microzanja 3 km,2.59113382312
1,10 postes cfe 15 km,14.6413699593
1,11 Canalizacion 19 km,3.619141210621223
2,11 Canalizacion 19 km,15.453128780078778
2,12 Microzanja 14 km,13.850962502
2,13 Microzanja 90 km,20.69590871792122
3,13 Microzanja 90 km,50.0
4,13 Microzanja 90 km,18.60564883497878
4,15 Microzanja 18 km,18.1306691899
4,20 Microzanja,9.71217870221
4,17 Microzanja,3.551503272911219
5,17 Microzanja,17.22472689798878
5,19 Microzanja,8.4275036836
5,14 postes cfe,5.27651109116
5,16 Microzanja,8.04334168934
5,18 postes cfe,11.027916637911218
6,18 postes cfe,7.187082155288781
6,01 Microzanja,5.64305741397
6,02 postes cfe,1.40099348237
6,03 Microzanja,13.9868276631
6,04 postes cfe,6.48961133711
6,05 Canalizacion,15.292427948161219
7,05 Canalizacion,17.074230646438778
7,06 adozado,0.253284883804
7,07 postes nuevos,7.89477384462
7,08 Canalizacion,1.59220785731
7,09 Canalizacion,1.77889813915
7,11 postes nuevos,16.0147937257
7,10 postes cfe,5.39181090297722
8,10 postes cfe,7.890002684522781
8,12 Microzanja,42.109997315477216
9,12 Microzanja,30.20350478842279
9,13 Canalizacion,19.79649521157721
10,13 Canalizacion,37.63427826992279
10,14 Microzanja,12.365721730077212
11,14 Microzanja,19.519744423322788
