NOMBRE,CVE_ESTADO,CVE_MPIO,Hectares,distancia_km,NOM_NA
SALSIPUEDES CORCOVADO,30,123,,5.210412160532896,SALSIPUEDES CORCOVADO
TAMOS,30,123,,1.0877813582615385,TAMOS
EL MORALILLO,30,123,,0.5492348158819466,EL MORALILLO
VICENTE GUERRERO,30,123,,2.2729081980380936,VICENTE GUERRERO
VICENTE GUERRERO,30,123,,3.0948472731533068,VICENTE GUERRERO
ANAHUAC,30,133,,1.1562705995077514,ANAHUAC
EL MORALILLO,30,123,,1.2118398962819,EL MORALILLO
MARIA QUINTA DE LAS NIEVES,30,133,,1.3388424354830843,MARIA QUINTA DE LAS NIEVES
ALTO DEL NARANJO,30,123,,4.266726408784172,ALTO DE NARANJO
EMILIANO ZAPATA,30,133,,3.1848042376416466,LA ESCONDIDA HOY EMILIANO ZAPATA
EL CRUCERO,30,133,,2.1712768193814203,EL CRUCERO
TANCOCO,30,123,,2.315114484895531,TANCOCO
LAS ANIMAS,30,123,,2.036719503178573,LAS ANIMAS
TANCOCO,30,123,,1.3587813785791172,TANCOCO
EL REVENTADERO,30,123,,1.6627263960314091,EL REVENTADERO
EL CARACOL,30,123,,0.8848074785874689,EL CARACOL
EL JOBO,30,123,,0.26851232709071376,EL JOBO
CALENTADORES Y SUS ANEXOS EL BARCO Y PERIQUILLO,30,123,,0.4242101759251613,CALENTADORES Y SUS ANEXOS
MARIA QUINTA DE LAS NIEVES,30,133,,1.8496930315547684,MARIA QUINTA DE LAS NIEVES
LAS ANIMAS,30,123,,0.5156634675503662,LAS ANIMAS
LA PALMA Y ANEXOS,30,123,,1.9889667935084823,LA PALMA Y ANEXOS
EL SENDERO,30,133,,3.793269266465788,EL SENDERO
LA PALMA Y ANEXOS,30,123,,1.4875923565229263,LA PALMA Y ANEXOS
CALENTADORES Y SUS ANEXOS EL BARCO Y PERIQUILLO,30,123,,1.8339374119122949,CALENTADORES Y SUS ANEXOS
EL JOBO,30,123,,1.6172436954018743,EL JOBO
LAS ANIMAS,30,123,,0.662410363224353,LAS ANIMAS
LAS ANIMAS,30,123,,0.26202886668587355,LAS ANIMAS
LA PALMA Y ANEXOS,30,123,,0.251187153597053,LA PALMA Y ANEXOS
LAS ANIMAS,30,123,,0.3267607802666118,LAS ANIMAS
LA PALMA Y ANEXOS,30,123,,1.586573773308521,LA PALMA Y ANEXOS
,24,016,,2.57951077459292,20 DE NOVIEMBRE
,24,016,,1.9101841872952272,FULGENCIO M. SANTOS
,24,016,,0.10529396309237017,20 DE NOVIEMBRE
,24,016,,1.5847665043397985,AJINCHE
,24,016,,1.3362774104806971,N.C.P.E. ESTACION VELAZCO
,24,016,,1.7079130761100407,REFORMA AGRARIA
,24,016,,1.6890476146195554,FRANCISCO VILLA
,24,035,,5.218729132551933,SOLEDAD DIEZ GUTIERREZ
,24,040,,4.47386811028456,ESTACION VELAZCO
,24,016,,1.5642066388357785,AMPLIACION TAMPACOY
,24,040,,1.7716365900557902,LOMA ALTA
,24,040,,0.9642020160350669,ESTACION VELAZCO
,24,016,,0.18420541964495615,SOLIDARIDAD
,24,016,,0.16736403934724012,SOLIDARIDAD
,24,040,,11.38410437770121,LAS PALMAS
,24,016,,1.7058322877110852,NUEVO PROGRESO
,24,016,,3.1648612892831585,CAPITAN MIGUEL MEDINA ARVIZU
,24,016,,0.9686561207403744,COLONIA OBRERA
,24,016,,1.032442174663002,VICENTE GUERRERO
,24,040,,2.0317395931305042,ADOLFO RUIZ CORTINEZ III
,24,035,,2.1418666816011136,RANCHERIA DE LOS GOMEZ
,24,035,,0.47831057171620345,RANCHERIA DE LOS GOMEZ
,24,040,,1.2091747160919435,NUEVO CERRO
,24,028,,3.6939281989638313,INDEPENDENCIA Y ANEXOS
,24,028,,2.8683419786811064,INDEPENDENCIA Y ANEXOS
,24,035,,1.1082736083476012,RANCHERIA DE LOS GOMEZ
,24,035,,0.4079539757687181,RANCHERIA DE LOS GOMEZ
,24,016,,0.1680615115387099,SOLIDARIDAD
,24,028,,0.5740777289030655,PANALILLO
,24,040,,2.290158229599096,VALERIO TRUJANO N.C.P.E.
,24,035,,0.09461604819665569,RANCHERIA DE LOS GOMEZ
,24,016,,1.2579093686106482,SOLIDARIDAD
,24,016,,1.4322868135849105,SOLIDARIDAD
,24,016,,0.9168130964512218,SOLIDARIDAD
,24,040,,2.7950743374874256,HEROES DE MEXICO
,24,035,,0.6474239769613138,RANCHERIA DE LOS GOMEZ
,24,030,,2.9775401936864343,SAN MARTIN DE ABAJO
,24,040,,0.6603268148925032,N.C.P.E. NUEVO TAMPAON
,24,040,,3.4250885081241615,MANUEL AVILA CAMACHO II
,24,028,,2.4977032883590202,RANCHO VIEJO
,24,028,,1.8105447527825875,SAN NICOLAS DE JASSOS
,24,030,,2.103794770278917,SANTA CATARINA
,24,011,,5.178026502244221,LA NORIA
,24,011,,4.138553365273578,SANTA ANA Y SU ANEXO EL SERMON
,24,040,,7.668662582109813,LAS PALMAS
,24,040,,2.975618081722348,EL PALMAR
,24,028,,4.94743562896682,VILLA DE POZOS
,24,055,,0.8267552015513469,EMILIANO ZAPATA (PARADA DEL ZARCIDO)
,24,055,,2.5766430089806605,EMILIANO ZAPATA (PARADA DEL ZARCIDO)
,24,055,,5.8787354869240565,ZARAGOZA
,24,055,,0.23761214404687325,SAN FRANCISCO
,24,013,,2.4408344767376047,ZOCOHUITE
,24,024,,2.6832775207321116,PASO DE SAN ANTONIO
,24,011,,1.6226460528022613,OJO DE AGUA DE SAN JUAN Y SU ANEXO SAN JOSE DEL TERREMOTO
,24,024,,0.5526460723541341,SAN JOSE DE GALLINAS
,24,040,,1.3315969681117148,VILLA GUERRERO
,24,003,,4.877240669114118,LOS OTATES
,24,024,,0.3331578448627546,PASO DE SAN ANTONIO
,24,024,,0.2730799052750137,EL CHARCO
,24,011,,0.7749627325300392,LABOR VIEJA
,24,013,,1.3715806292758876,ESTACION VALLES
,24,024,,2.1860530914347645,LA TAPONA
,24,055,,4.083730325427461,SIERRA DE ALVAREZ  KILOMETRO 58
,24,024,,3.2700043589072627,CANOAS
,24,013,,2.3203617947649797,TANCULPAYA
,24,011,,5.344115726458738,ATOTONILCO
,24,013,,2.2278584693676415,CAÑON DE TANINUL O EL ABRA
,24,040,,0.874049086014511,LA FORTALEZA
,24,003,,2.914539380958724,LOS OTATES
,24,013,,0.38872810841116984,LA PITAHAYA
,24,003,,1.3169730125258297,LOS OTATES
,24,013,,2.0622748584143413,SAN DIEGUITO
,24,013,,1.346846350671049,OJO DE AGUA
,24,040,,1.5142716153653717,ANTIGUO TAMUIN
,24,011,,0.6215388971297017,ATOTONILCO
,24,040,,4.520601763612037,ANTIGUO TAMUIN
,24,011,,7.888437126893931,MORILLOS
,24,024,,3.5504065597446837,EL PUENTE
,24,013,,1.2777092049068233,EL ABRA O SAN FELIPE
,24,011,,1.3767684589841733,LA NORIA
,24,024,,5.705252231318248,TANQUE DE SAN JUAN
,24,024,,2.9064894679284614,TECOMATES
,24,013,,2.982481508006768,EL ABRA O SAN FELIPE
,24,011,,2.459407278587538,LA REFORMA
,24,024,,5.9065672771745374,SAN JOSE DE LAS FLORES
,24,011,,1.2752043692147323,LA REFORMA
,24,036,,3.560401969123373,TAMBACA
,24,040,,0.2768982437504581,RUBEN JARAMILLO
,24,013,,0.9639723043549792,TAMPAYA
,24,003,,1.3830620233001456,EL SAUCITO
,24,013,,2.0662991802730946,CAÑON DE TANINUL O EL ABRA
,24,040,,0.6669011397522348,RUBEN JARAMILLO
,24,003,,0.37917010128689477,LOS OTATES
,24,040,,2.0047069759028266,EL ASERRADERO-EL MICROBIO
,24,013,,3.947181227707936,SAN ANTONIO HUICHIMAL
,24,036,,3.086236012256223,ABRAS DEL COROZO
,24,024,,1.3341652311487322,ADJUNTAS
,24,003,,0.3348571150759168,EL VERGEL PUERTO DE GUAYMAS
,24,024,,3.688662843301776,SAN MARTIN
,24,011,,2.3783780263170717,EL REFUGIO
,24,036,,2.025029800816589,TAMASOPO
,24,005,,3.628443513664948,EL PANTANO
,24,024,,1.5133156349015318,ILDEFONSO TURRUBIARTES
,24,024,,1.84234872267905,ACEQUIA SALADA
,24,036,,1.0335731910801995,LA PALMA
,24,036,,1.5015023922869286,TAMASOPO
,24,024,,3.1244561235971133,ILDEFONSO TURRUBIARTES
,24,023,,2.3304576003622497,ESTANCITA
,24,003,,1.5020674927907747,EL SAUCITO
,24,036,,0.18370465807420922,RANCHO NUEVO
,24,003,,2.887605190837115,PALO DE ARCO
,24,024,,2.0141216078615565,LOS ANGELES
,24,005,,3.1116884154193,EL PANTANO
,24,024,,0.7072149037052413,REDENCION NACIONAL
,24,036,,0.7510965049230028,EL CARPINTERO
